PedestrianCounter_Name,Coordinates
Charlotte - Selwyn Ave,"35.1784171,-80.837205"
Charlotte - Tenth St,"35.2242574,-80.827558"
Charlotte - Pecan Ave,"35.2180695,-80.8144337"
Charlotte - South Tryon Rd,"35.2216001,-80.8504882"
Charlotte - North Tryon Rd,"35.2330073,-80.834837"
Charlotte - Stonewall St,"35.2145396,-80.8382865"
Charlotte - University City Blvd,"35.306955,-80.7228207"
Charlotte - 4th St Extension,"35.2332485,-80.8571822"
Charlotte - Elizabeth Ave,"35.2150969,-80.8283565"
Charlotte - Blue Line Trail,"35.2095957,-80.8611686"